song_id,song_name,duration_ms,url,popularity,song_added,album_id,artist_id
7ne4VBA60CxGM75vw0EYad,That’s So True,166300,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,90,2024-11-01 04:00:00+00:00,0hBRqPYPXhr1RkTDG3n4Mk,4tuJ0bMpJh08umKkEXKUI5
5vNRhkKd0yEAg8suGBpjeY,APT.,169917,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,97,2024-10-18 04:00:00+00:00,2IYQwwgxgOIn7t3iF6ufFD,3eVa5w3URK5duf6eyVDbu9
1d7Ptw3qYcfpdLNL5REhtJ,Taste,157279,https://open.spotify.com/track/1d7Ptw3qYcfpdLNL5REhtJ,81,2024-08-23 04:00:00+00:00,4B4Elma4nNDUyl6D5PvQkj,74KM79TiuVKeVCqs8QtB0B
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,210373,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,97,2024-05-31 04:00:00+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
2plbrEY59IikOBgBGLjaoe,Die With A Smile,251667,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,99,2024-08-16 04:00:00+00:00,10FLjwfpbxLmW8c25Xyc2N,1HY2Jd0NmPuamShAr6KMms
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),256000,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,91,2024-09-27 04:00:00+00:00,2IRxVVqbSbqHJo8Zx50LYn,1Xyo4u8uXC1ZmMpatF05PJ
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",218423,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,94,2024-04-19 04:01:02+00:00,1WAjjRMfZjEXtB0lQrAw6Q,7GlBOeep6PqTfFi59PTUUN
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,186365,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP,88,2024-06-07 04:00:19+00:00,5bBaoign62r1i7OV8w7mi9,74KM79TiuVKeVCqs8QtB0B
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,169697,https://open.spotify.com/track/6MzofobZt2dm0Kf1hTThFz,88,2024-09-06 04:00:03+00:00,0XA403JTounqFh2owquBXu,4gvjmrtzydbMpyJaXUtwvP
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,143330,https://open.spotify.com/track/3WOhcATHxK2SLNeP5W3v1v,86,2024-08-07 00:45:42+00:00,3ThlxfLSy4bfKzxWqmC7VN,25uiPmTg16RbhZWAqwLBy5
19KlZwqlT3fguP2BeHF1Q1,Disease,229997,https://open.spotify.com/track/19KlZwqlT3fguP2BeHF1Q1,85,2024-10-25 04:00:00+00:00,52BWvTRMsPqjHzrbQomgwP,1HY2Jd0NmPuamShAr6KMms
0UYnhUfnUj5adChuAXvLUB,Sailor Song,211978,https://open.spotify.com/track/0UYnhUfnUj5adChuAXvLUB,75,2024-08-23 04:00:00+00:00,4DWrYvfGXRE8ko5ZxlIpit,1iCnM8foFssWlPRLfAbIwo
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,261466,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,92,2024-10-04 04:00:00+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),171291,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,87,2024-04-26 04:00:00+00:00,6egBeCLeGITzGSo5VyRjwZ,3y2cIKLjiOlp1Np37WiUdH
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,184841,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,89,2024-06-21 04:00:00+00:00,0EiI8ylL0FmWWpgHVTsZjZ,7GlBOeep6PqTfFi59PTUUN
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)",253834,https://open.spotify.com/track/0VaeksJaXy5R1nvcTMh3Xk,87,2024-11-08 05:00:00+00:00,0U28P0QVB1QRxpqp5IHOlH,4V8LLVI7PbaPR0K2TGSxFF
5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),155757,https://open.spotify.com/track/5G345YEhvleYxQLfYUlEFv,82,2024-10-11 04:00:00+00:00,1OGxb1Z5KDBVOwDtyKu8wz,5L1lO4eRHmJ7a0Q6csE5cT
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,156521,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM,85,2024-09-13 04:00:00+00:00,5qfivA7g2aAhAIPnSb0csp,45dkTj5sMRSjrmBSBeiHym
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,204828,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo,85,2024-10-25 04:00:00+00:00,0TxewlKVKdpP18dGg279ep,4oUHIQIBe0LHzYfvXNW4QM
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",157146,https://open.spotify.com/track/51rfRCiUSvxXlCSCfIztBy,89,2024-08-09 04:00:00+00:00,56bdWeO40o3WfAD2Lja4dl,4tuJ0bMpJh08umKkEXKUI5
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,155151,https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ,43,2024-05-03 04:00:00+00:00,52TwRwdTUMtkpglbOE5IRz,1WaFQSHVGZQJTbf0BdxdNo
0xGQTpN4ESETtl1Sp6rzd2,São Paulo (feat. Anitta),301623,https://open.spotify.com/track/0xGQTpN4ESETtl1Sp6rzd2,84,2024-11-01 04:00:00+00:00,44MHvpU3h9Wp6SxhsC9GOK,1Xyo4u8uXC1ZmMpatF05PJ
1BJJbSX6muJVF2AK7uH1x4,Move,177598,https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4,87,2024-07-05 04:00:00+00:00,4M8ThNHbNjda2cPwL8XZHS,2loEsOijJ6XiGzWYFXMIRk
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),130880,https://open.spotify.com/track/0qeIFEGRQqHoaJtLCl0U73,81,2024-10-25 04:00:00+00:00,3pkIK8SI5mcUUjb9jNjx4H,7iK8PXO48WeuP03g8YR51W
2qSkIjg1o9h3YT9RAgYN75,Espresso,175459,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,90,2024-04-12 04:00:00+00:00,5quMTd5zeI9yW5UDua8wS4,74KM79TiuVKeVCqs8QtB0B
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),178205,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,84,2024-05-10 04:00:00+00:00,1woYXxyyxTQJ0E0AhZE6mj,246dkjvS1zLTtiykXe5h60
2CspwnypzT7rcWI9RfsoSb,Mantra,136627,https://open.spotify.com/track/2CspwnypzT7rcWI9RfsoSb,89,2024-10-11 04:00:00+00:00,3e5tDT1kfaAGx10yOjIDgW,250b0Wlc5Vk0CoUsaCY84M
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,217333,https://open.spotify.com/track/2c7z5oRcPBbqRaBY2mLWcf,85,2024-10-11 04:00:00+00:00,0Kzb3u6kMnOJOZXYFSk33F,4Gso3d4CscCijv0lmajZWs
51eSHglvG1RJXtL3qI5trr,Slow It Down,161831,https://open.spotify.com/track/51eSHglvG1RJXtL3qI5trr,87,2024-04-05 04:23:07+00:00,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,218004,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy,83,2024-04-26 04:00:00+00:00,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02
4IadxL6BUymXlh8RCJJu7T,Too Sweet,251424,https://open.spotify.com/track/4IadxL6BUymXlh8RCJJu7T,77,2024-03-25 12:43:44+00:00,1KZC0cX0qq6hodR9YVgh9F,2FXC3k01G6Gw61bmprjgqS
4NJqhmkGN042BrvHoMKUrJ,Austin,171782,https://open.spotify.com/track/4NJqhmkGN042BrvHoMKUrJ,5,2024-03-15 04:00:00+00:00,4JtlZzYJEa7bejLF0ASnk0,7Ez6lTtSMjMf2YSYpukP1I
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,236906,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,82,2024-10-25 04:00:00+00:00,03guxdOi12XJbnvxvxbpwG,2sSGPbdZJkaSE2AbcGOACx
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,172533,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,88,2024-05-17 04:00:00+00:00,3VNxRarx9HUI5w7DHv0TBj,3bO19AOone0ubCsfDXDtYt
1cOboCuWYI2osTOfolMRS6,Tu Boda,225880,https://open.spotify.com/track/1cOboCuWYI2osTOfolMRS6,92,2024-10-18 04:00:00+00:00,60cQzWfmdg4hyDXrpW6kOA,3l9G1G9MxH6DaRhwLklaf5
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),228639,https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC,81,2024-03-08 05:00:00+00:00,71PfP4E9roOXAudea1aPGw,66CXWjxzNUsdJxJ2JdwvnR
17phhZDn6oGtzMe56NuWvj,Lose Control,210688,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,89,2023-11-24 05:00:00+00:00,7nacKlk586eLRBSIsrk9DB,33qOK5uJ8AR2xuQQAhHump
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,148317,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,82,2024-03-29 04:00:00+00:00,3PlCMwyq6nuQYtoYproV1o,11p2E654TTU8e0nZWBR4AL
6aJn7Cst74cj4lNIiPRgav,Touch,129882,https://open.spotify.com/track/6aJn7Cst74cj4lNIiPRgav,85,2024-09-06 04:00:03+00:00,1hjqg3TuQ2YqooaPhxHwdv,3c0gDdb9lhnHGFtP4prQpn
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,180304,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,85,2024-01-26 05:00:00+00:00,29aSKB1qPEbN0Qf9OPSQpw,22wbnEMDvgVIAGdFeek6ET
19RybK6XDbAVpcdxSbZL1o,Apple,151739,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,84,2024-08-02 04:00:00+00:00,2lIZef4lzdvZkiiCzvPKj7,25uiPmTg16RbhZWAqwLBy5
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,224022,https://open.spotify.com/track/0Sr7ssScx54yxdM2ols7nW,89,2024-10-11 04:00:00+00:00,3C5uwdRE5QRoXSGPPxpDd4,3E12tRURRvPfHz0hAMCFYc
3qhlB30KknSejmIvZZLjOD,End of Beginning,159245,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,89,2024-03-01 05:00:00+00:00,4JDXBZdRPId4devseaAOKH,5p9HO3XC5P3BLxJs5Mtrhm
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),228965,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,84,2024-04-19 04:01:02+00:00,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,195824,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,93,2024-06-28 04:00:00+00:00,5ylbxH7EqpsmHZCRuiYewS,790FomKkXshlbRYZFtlgla
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,274192,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,88,2024-05-07 00:52:08+00:00,5JjnoGJyOxfSZUZtk2rRwZ,2YZyLoL8N0Wb9xBt1NhZWg
0io16MKpbeDIdYzmGpQaES,Embrace It,104418,https://open.spotify.com/track/0io16MKpbeDIdYzmGpQaES,88,2024-10-04 04:00:00+00:00,0mV9Pfr1GfoZLkp1EAau9P,5HK6QtizXJzCmoYTkvFRik
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,142514,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf,84,2024-03-22 04:00:00+00:00,5HIWDdg3g9CTOtnevKDl1z,0PCCGZ0wGLizHt2KZ7hhA2
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,190427,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A,90,2024-09-13 04:00:00+00:00,6W0Gabv5f3ugnckc6YgfJQ,6XyY86QOPPrYVGvF9ch6wz
7tI8dRuH2Yc6RuoTjxo4dU,Who,170887,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,92,2024-07-19 04:00:00+00:00,15XcLhiVMlSOipUddTNDnr,1oSPZhvZMIrWW5I41kPkkY
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,200400,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,85,2024-07-29 10:33:21+00:00,20RMokVwJ2wjQ0s8FOdOFC,6Ff53KvcvAj5U7Z1vojB5o
1nzvnKMBBV2meHZT1sgkJx,Someone That's Better,133059,https://open.spotify.com/track/1nzvnKMBBV2meHZT1sgkJx,53,2024-08-22 10:41:01+00:00,4MMCQOnubHdewVOnUqm1j8,11p2E654TTU8e0nZWBR4AL
3hB9lDLyAClYVZivMMl20N,Co2,163653,https://open.spotify.com/track/3hB9lDLyAClYVZivMMl20N,68,2024-08-21 09:07:08+00:00,4WLh56ZjwINYBNhaxLvEhA,0tC995Rfn9k2l7nqgCZsV7
7qbJ4Dh8xuYUFdAWL8SFPK,Guess featuring billie eilish,143330,https://open.spotify.com/track/7qbJ4Dh8xuYUFdAWL8SFPK,66,2024-10-10 11:51:46+00:00,3rQE6GuZuvLF82h0o3Xqqd,25uiPmTg16RbhZWAqwLBy5
5b3XJ1pjrHO5JtY2PcTjnI,Mamushi (feat. Yuki Chiba),156988,https://open.spotify.com/track/5b3XJ1pjrHO5JtY2PcTjnI,81,2024-07-23 07:01:28+00:00,0FzWvaeMBfKBCqxHTLVlB8,181bsRPaVXVlUKXrxwZfHK
1YsU8rW2u8z4F0pwOBQ4Ea,feelslikeimfallinginlove - Single Version,237803,https://open.spotify.com/track/1YsU8rW2u8z4F0pwOBQ4Ea,78,2024-07-10 10:47:44+00:00,6RjTapeTvms8jSeIRGc5Ve,4gzpq5DPGxSnKTe4SA8HAU
3nH6JdYvrM7cnLT7xMrEKX,we can't be friends (wait for your love),228639,https://open.spotify.com/track/3nH6JdYvrM7cnLT7xMrEKX,57,2024-05-17 05:45:55+00:00,5Csjy4XeA7KnizkhIvI7y2,66CXWjxzNUsdJxJ2JdwvnR
4FILzf323qRuR9ZhrrxLcg,Addicted,152250,https://open.spotify.com/track/4FILzf323qRuR9ZhrrxLcg,37,2024-09-02 12:21:31+00:00,2mb6o5BhEvbO4ma4hf6hcy,69GGBxA162lTqCwzJG5jLp
3QJsSWa0Xo8MfaRn1gr4Be,favorite,133608,https://open.spotify.com/track/3QJsSWa0Xo8MfaRn1gr4Be,78,2024-05-30 15:16:13+00:00,6pngQ1BGnsddTXtAJQUkF7,5arKwJZEvT5uKq4o0JfqR4
3hRV0jL3vUpRrcy398teAU,The Night We Met,208211,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,88,2024-07-03 08:33:12+00:00,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),191700,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,89,2024-05-30 15:16:13+00:00,18NOKLkZETa4sWwLMIm0UZ,0Y5tJX1MQlPlqiwlOH1tJY
0OA00aPt3BV10qeMIs3meW,Big Dawgs,190666,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,86,2024-09-02 12:21:31+00:00,6Yw4204wbgmpsGTzjXBhYD,4nVa6XlBFlIkF6msW57PHp
629DixmZGHc7ILtEntuiWE,LUNCH,179586,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,86,2024-05-17 05:45:55+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
59xD5osEFsaNt5PXfIKUnX,Illusion,188143,https://open.spotify.com/track/59xD5osEFsaNt5PXfIKUnX,67,2024-05-17 05:45:55+00:00,68mwSgiHv3JF9nrw9feMrt,6M2wZ9GZgrQXHCFfjv46we
